,weblink,price,ad_date,ad_views,brand,model,year,dict_params,city,generation,body,engine,mileage,transmission,drivetrain,drive,body_color,customs_cleared,engine_volume,fuel_type,damaged
2325,https://kolesa.kz/a/show/128422994,19100000.0,3 июля,5920,Chevrolet,Equinox,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 3 поколение рестайлинг', 'Кузов': 'внедорожник', 'Объем двигателя, л': '2 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 3 поколение рестайлинг,внедорожник,2 (бензин),,автомат,полный привод,слева,,Да,2.0,бензин,0
2326,https://kolesa.kz/a/show/155490056,19100000.0,29 июня,80,Chevrolet,Equinox,2023.0,"{'Город': 'Астана', 'Поколение': '2020 - н.в. 3 поколение рестайлинг', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'серый', 'Растаможен в Казахстане': 'Да'}",Астана,2020 - н.в. 3 поколение рестайлинг,кроссовер,2 (бензин),,автомат,полный привод,слева,серый,Да,2.0,бензин,0
2327,https://kolesa.kz/a/show/155234666,19100000.0,3 июля,5,Chevrolet,Equinox,2023.0,"{'Город': 'Атырау', 'Поколение': '2020 - н.в. 3 поколение рестайлинг', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}",Атырау,2020 - н.в. 3 поколение рестайлинг,кроссовер,2 (бензин),,автомат,полный привод,слева,белый,Да,2.0,бензин,0
2328,https://kolesa.kz/a/show/155536892,19100000.0,30 июня,253,Kia,Sorento,2023.0,"{'Город': 'Шымкент', 'Поколение': '2020 - н.в. 4 поколение (MQ4/MQ4A)', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2.5 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Растаможен в Казахстане': 'Да'}",Шымкент,2020 - н.в. 4 поколение (MQ4/MQ4A),кроссовер,2.5 (бензин),,автомат,полный привод,слева,,Да,2.5,бензин,0
2329,https://kolesa.kz/a/show/155423083,19100000.0,27 июня,408,Kia,Sorento,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 4 поколение (MQ4/MQ4A)', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2.5 (бензин)', 'Пробег': '20 км', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'белый металлик', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 4 поколение (MQ4/MQ4A),кроссовер,2.5 (бензин),20.0,автомат,полный привод,слева,белый металлик,Да,2.5,бензин,0
2330,https://kolesa.kz/a/show/155422572,19100000.0,27 июня,263,Kia,Sorento,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 4 поколение (MQ4/MQ4A)', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2.5 (бензин)', 'Пробег': '20 км', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'белый металлик', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 4 поколение (MQ4/MQ4A),кроссовер,2.5 (бензин),20.0,автомат,полный привод,слева,белый металлик,Да,2.5,бензин,0
2331,https://kolesa.kz/a/show/154710290,19100000.0,3 июля,7,Chevrolet,Equinox,2023.0,"{'Город': 'Астана', 'Поколение': '2020 - н.в. 3 поколение рестайлинг', 'Кузов': 'внедорожник', 'Объем двигателя, л': '2 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'белый', 'Растаможен в Казахстане': 'Да'}",Астана,2020 - н.в. 3 поколение рестайлинг,внедорожник,2 (бензин),,автомат,полный привод,слева,белый,Да,2.0,бензин,0
2332,https://kolesa.kz/a/show/154235885,19150000.0,28 июня,2731,Hyundai,Santa Fe,2023.0,"{'Город': 'Алматы', 'Поколение': '2020 - н.в. 4 поколение рестайлинг', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2.5 (бензин)', 'Пробег': '34 км', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'черный металлик', 'Растаможен в Казахстане': 'Да'}",Алматы,2020 - н.в. 4 поколение рестайлинг,кроссовер,2.5 (бензин),34.0,автомат,полный привод,слева,черный металлик,Да,2.5,бензин,0
2333,https://kolesa.kz/a/show/155472563,19150000.0,28 июня,90,Hyundai,Tucson,2023.0,"{'Город': 'Шымкент', 'Поколение': '2020 - н.в. 4 поколение (NX4)', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2.5 (бензин)', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'черный', 'Растаможен в Казахстане': 'Да'}",Шымкент,2020 - н.в. 4 поколение (NX4),кроссовер,2.5 (бензин),,автомат,полный привод,слева,черный,Да,2.5,бензин,0
2334,https://kolesa.kz/a/show/155436931,19200000.0,3 июля,1789,Kia,Sorento,2023.0,"{'Город': 'Астана', 'Поколение': '2020 - н.в. 4 поколение (MQ4/MQ4A)', 'Кузов': 'кроссовер', 'Объем двигателя, л': '2.5 (бензин)', 'Пробег': '15 км', 'Коробка передач': 'автомат', 'Привод': 'полный привод', 'Руль': 'слева', 'Цвет': 'белый металлик', 'Растаможен в Казахстане': 'Да'}",Астана,2020 - н.в. 4 поколение (MQ4/MQ4A),кроссовер,2.5 (бензин),15.0,автомат,полный привод,слева,белый металлик,Да,2.5,бензин,0
